Well ID,Name,Well,Conc/Dil,595,[Concentration],Count,Mean,Std Dev,CV (%)
SPL1,F07_01_36C,A1,,1.014,645.965,3,694.467,49.577,7.139
,,A2,,1.039,692.383,,,,
,,A3,,1.067,745.053,,,,
SPL2,F07_02_36C,A4,,1.154,909.883,3,953.017,81.025,8.502
,,A5,,1.15,902.684,,,,
,,A6,,1.226,1046.484,,,,
SPL3,F07_03_36C,A7,,1.305,1196.726,3,1216.746,46.107,3.789
,,A8,,1.298,1184.032,,,,
,,A9,,1.343,1269.479,,,,
SPL4,F07_04_36C,A10,,1.485,1537.944,3,1564.027,29.665,1.897
,,A11,,1.516,1596.298,,,,
,,A12,,1.496,1557.838,,,,
SPL5,F07_05_36C,B1,,0.843,321.988,3,388.299,59.694,15.373
,,B2,,0.904,437.748,,,,
,,B3,,0.887,405.161,,,,
SPL6,F07_06_36C,B4,,0.949,521.679,3,533.741,14.556,2.727
,,B5,,0.953,529.636,,,,
,,B6,,0.964,549.909,,,,
SPL7,F07_07_36C,B7,,1.206,1008.403,3,1054.82,63.068,5.979
,,B8,,1.217,1029.433,,,,
,,B9,,1.268,1126.626,,,,
SPL8,F07_08_36C,B10,,0.825,287.317,3,334.997,42.754,12.763
,,B11,,0.869,369.921,,,,
,,B12,,0.857,347.754,,,,
SPL9,F07_01_ambient,C1,,0.742,130.633,3,249.551,110.645,44.338
,,C2,,0.858,349.46,,,,
,,C3,,0.815,268.56,,,,
SPL10,F07_02_ambient,C4,,1.194,986.425,3,1095.807,95.759,8.739
,,C5,,1.273,1136.478,,,,
,,C6,,1.288,1164.518,,,,
SPL11,F07_03_ambient,C7,,1.206,1008.782,3,1168.307,138.62,11.865
,,C8,,1.326,1236.702,,,,
,,C9,,1.338,1259.438,,,,
SPL12,F07_04_ambient,C10,,0.925,477.345,3,652.091,157.509,24.154
,,C11,,1.041,695.793,,,,
,,C12,,1.087,783.134,,,,
SPL13,F07_05_ambient,D1,,0.986,591.779,3,690.741,91.456,13.24
,,D2,,1.047,708.297,,,,
,,D3,,1.081,772.146,,,,
SPL14,F07_06_ambient,D4,,1.188,975.058,3,1178.349,187.114,15.879
,,D5,,1.316,1216.62,,,,
,,D6,,1.383,1343.368,,,,
SPL15,F07_07_ambient,D7,,1.482,1532.071,3,1638.927,114.4,6.98
,,D8,,1.602,1759.613,,,,
,,D9,,1.531,1625.096,,,,
SPL16,F07_08_ambient,D10,,0.963,548.203,3,595.253,41.154,6.914
,,D11,,0.997,612.999,,,,
,,D12,,1.003,624.556,,,,
STD1,BSA,E1,2000,1.578,1713.953,3,1755.192,43.33,2.469
,,E2,2000,1.624,1800.347,,,,
,,E3,2000,1.598,1751.277,,,,
STD2,BSA,E4,1500,1.468,1504.599,3,1549.754,40.397,2.607
,,E5,1500,1.498,1562.195,,,,
,,E6,1500,1.509,1582.467,,,,
STD3,BSA,E7,1000,1.306,1197.484,3,1266.321,59.723,4.716
,,E8,1000,1.362,1304.34,,,,
,,E9,1000,1.358,1297.14,,,,
STD4,BSA,E10,750,1.121,848.119,3,930.092,73.725,7.927
,,E11,750,1.175,951.186,,,,
,,E12,750,1.196,990.972,,,,
STD5,BSA,F1,500,0.943,510.501,3,561.213,44.72,7.968
,,F2,500,0.979,578.138,,,,
,,F3,500,0.988,595,,,,
STD6,BSA,F4,250,0.765,173.83,3,232.689,55.661,23.921
,,F5,250,0.824,284.475,,,,
,,F6,250,0.8,239.762,,,,
STD7,BSA,F7,125,0.674,1.232,3,23.525,29.611,125.87
,,F8,125,0.68,12.22,,,,
,,F9,125,0.704,57.122,,,,
STD8,BSA,F10,0,0.564,<0.000,0,?????,?????,?????
,,F11,0,0.573,<0.000,,,,
,,F12,0,0.577,<0.000,,,,
