412

Time,0:00:00,0:02:00,0:04:00,0:06:00,0:08:00,0:10:00,0:12:00,0:14:00,0:16:00,0:18:00,0:20:00,
T° 412,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,
A1,0.135,0.150,0.165,0.181,0.196,0.212,0.227,0.242,0.255,0.269,0.280,
A2,0.120,0.135,0.151,0.166,0.182,0.198,0.213,0.228,0.242,0.255,0.268,
A3,0.119,0.132,0.147,0.161,0.175,0.190,0.204,0.218,0.232,0.244,0.257,
A4,0.119,0.135,0.151,0.168,0.184,0.201,0.218,0.234,0.248,0.262,0.274,
A5,0.124,0.141,0.159,0.177,0.195,0.212,0.229,0.245,0.260,0.273,0.285,
A6,0.119,0.134,0.151,0.167,0.184,0.200,0.216,0.231,0.246,0.259,0.271,
A7,0.128,0.155,0.182,0.208,0.233,0.255,0.274,0.287,0.298,0.307,0.314,
A8,0.128,0.155,0.184,0.211,0.237,0.259,0.277,0.291,0.302,0.310,0.317,
A9,0.126,0.153,0.182,0.209,0.234,0.256,0.273,0.287,0.297,0.305,0.311,
A10,0.121,0.140,0.160,0.180,0.200,0.219,0.237,0.253,0.268,0.281,0.293,
A11,0.120,0.141,0.161,0.182,0.202,0.222,0.241,0.258,0.273,0.286,0.297,
A12,0.122,0.143,0.164,0.185,0.205,0.225,0.244,0.261,0.276,0.290,0.301,
B1,0.118,0.129,0.140,0.151,0.162,0.173,0.185,0.196,0.207,0.218,0.229,
B2,0.123,0.133,0.144,0.155,0.166,0.177,0.189,0.200,0.211,0.223,0.233,
B3,0.119,0.129,0.140,0.151,0.162,0.173,0.184,0.195,0.206,0.217,0.228,
B4,0.136,0.164,0.191,0.218,0.243,0.265,0.283,0.297,0.307,0.316,0.323,
B5,0.133,0.161,0.189,0.216,0.241,0.263,0.280,0.294,0.304,0.312,0.319,
B6,0.131,0.160,0.189,0.216,0.242,0.263,0.281,0.294,0.304,0.311,0.318,
B7,0.125,0.147,0.170,0.192,0.214,0.234,0.253,0.269,0.283,0.295,0.304,
B8,0.124,0.147,0.171,0.194,0.215,0.236,0.255,0.271,0.285,0.296,0.305,
B9,0.123,0.146,0.169,0.192,0.213,0.234,0.252,0.269,0.283,0.294,0.304,
B10,0.135,0.167,0.198,0.227,0.253,0.274,0.289,0.299,0.307,0.314,0.320,
B11,0.131,0.162,0.193,0.222,0.247,0.269,0.284,0.296,0.304,0.311,0.317,
B12,0.129,0.161,0.192,0.221,0.247,0.268,0.283,0.294,0.302,0.308,0.314,
C1,0.107,0.108,0.108,0.108,0.108,0.108,0.109,0.109,0.109,0.110,0.110,
C2,0.108,0.108,0.109,0.109,0.109,0.109,0.110,0.110,0.110,0.110,0.110,
C3,0.110,0.110,0.111,0.111,0.111,0.112,0.112,0.112,0.112,0.112,0.113,
C4,0.367,0.367,0.367,0.367,0.367,0.367,0.366,0.366,0.366,0.366,0.366,
C5,0.381,0.382,0.382,0.382,0.382,0.382,0.381,0.381,0.381,0.381,0.381,
C6,0.380,0.380,0.380,0.380,0.380,0.380,0.380,0.379,0.380,0.379,0.379,
C7,0.634,0.635,0.635,0.634,0.634,0.633,0.632,0.631,0.631,0.630,0.630,
C8,0.634,0.636,0.636,0.635,0.635,0.635,0.634,0.634,0.634,0.634,0.634,
C9,0.619,0.621,0.621,0.620,0.620,0.619,0.619,0.619,0.619,0.618,0.618,
C10,0.869,0.870,0.869,0.867,0.866,0.864,0.862,0.861,0.859,0.858,0.857,
C11,0.862,0.862,0.861,0.859,0.857,0.856,0.854,0.853,0.852,0.850,0.849,
C12,0.865,0.868,0.867,0.865,0.863,0.861,0.860,0.859,0.857,0.856,0.855,
D1,1.126,1.126,1.124,1.122,1.120,1.117,1.115,1.113,1.111,1.109,1.107,
D2,1.104,1.105,1.103,1.102,1.100,1.098,1.097,1.095,1.093,1.092,1.090,
D3,1.123,1.124,1.123,1.121,1.119,1.117,1.115,1.113,1.111,1.109,1.107,
D4,1.419,1.421,1.418,1.415,1.412,1.408,1.405,1.402,1.399,1.396,1.394,
D5,1.430,1.429,1.427,1.423,1.420,1.417,1.413,1.409,1.406,1.403,1.400,
D6,1.433,1.433,1.430,1.427,1.424,1.420,1.416,1.413,1.410,1.407,1.404,
D7,0.166,0.170,0.173,0.176,0.179,0.183,0.186,0.190,0.194,0.198,0.202,
D8,0.260,0.267,0.272,0.277,0.282,0.288,0.294,0.299,0.305,0.312,0.317,
D9,0.281,0.289,0.294,0.298,0.304,0.309,0.315,0.321,0.328,0.334,0.340,
D10,0.064,0.064,0.064,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.067,
D11,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.065,0.065,0.066,0.066,
D12,0.055,0.055,0.055,0.055,0.055,0.056,0.056,0.056,0.057,0.057,0.057,

