"Sample","Family","Temperature","Individual","Tissue (mg)","Dilution","Mean lum.","CV (%)","Well glycogen (ug/mL)","Homogenate glycogen (ug/mL)","Normalized glycogen (ug/mL/mg)","In std range"
"1_01_ambient","Family 1","ambient","01",7,25,10802,5,3.29,82.25,11.75,"yes"
"1_02_ambient","Family 1","ambient","02",4.7,25,14632,1.3,4.55,113.76,24.2,"yes"
"1_03_ambient","Family 1","ambient","03",2.5,25,7373,3.8,2.162,54.05,21.62,"yes"
"1_04_ambient","Family 1","ambient","04",10.7,25,39486,6.4,12.727,318.18,29.74,"yes"
"1_05_ambient","Family 1","ambient","05",7.9,25,22099,2.7,7.007,175.17,22.17,"yes"
"1_06_ambient","Family 1","ambient","06",11,25,97291,6,31.745,793.63,72.15,"NO - extrapolated"
"1_07_ambient","Family 1","ambient","07",6.1,25,5076,5.4,1.406,35.15,5.76,"yes"
"1_08_ambient","Family 1","ambient","08",24.8,25,200961,0.2,65.853,1646.32,66.38,"NO - extrapolated"
"1_01_36C","Family 1","36C","01",9.6,25,31844,5,10.213,255.32,26.6,"yes"
"1_02_36C","Family 1","36C","02",9.2,25,5679,6.6,1.605,40.12,4.36,"yes"
"1_03_36C","Family 1","36C","03",3.1,25,4832,9.9,1.326,33.15,10.69,"yes"
"1_04_36C","Family 1","36C","04",12.4,25,5075,30.1,1.406,35.15,2.83,"yes"
"1_05_36C","Family 1","36C","05",25.7,25,94104,4.9,30.697,767.42,29.86,"NO - extrapolated"
"1_06_36C","Family 1","36C","06",13,25,56800,1.9,18.424,460.59,35.43,"yes"
"1_07_36C","Family 1","36C","07",6.1,25,21660,4.1,6.862,171.56,28.12,"yes"
"1_08_36C","Family 1","36C","08",8.8,25,46235,3.5,14.948,373.69,42.46,"yes"
"9_01_ambient","Family 9","ambient","01",7.3,25,7336,3.3,2.15,53.75,7.36,"yes"
"9_02_ambient","Family 9","ambient","02",4.4,25,4991,4.7,1.378,34.45,7.83,"yes"
"9_03_ambient","Family 9","ambient","03",4.3,25,11467,5.1,3.509,87.72,20.4,"yes"
"9_04_ambient","Family 9","ambient","04",1.8,25,5653,6.4,1.596,39.9,22.17,"yes"
"9_05_ambient","Family 9","ambient","05",9.2,25,70209,1.1,22.835,570.88,62.05,"NO - extrapolated"
"9_06_ambient","Family 9","ambient","06",4.3,25,3649,6.5,0.937,23.42,5.45,"yes"
"9_07_ambient","Family 9","ambient","07",2.4,25,9969,4.9,3.016,75.4,31.42,"yes"
"9_08_ambient","Family 9","ambient","08",7.4,25,2678,5.3,0.617,15.43,2.09,"yes"
"9_01_36C","Family 9","36C","01",7.7,25,14413,5.9,4.478,111.95,14.54,"yes"
"9_02_36C","Family 9","36C","02",15.7,25,12523,4.4,3.856,96.41,6.14,"yes"
"9_03_36C","Family 9","36C","03",10.4,25,43857,3.2,14.165,354.13,34.05,"yes"
"9_04_36C","Family 9","36C","04",11.3,25,23983,2.2,7.627,190.67,16.87,"yes"
"9_05_36C","Family 9","36C","05",9.2,25,49781,4.3,16.114,402.85,43.79,"yes"
"9_06_36C","Family 9","36C","06",4.3,25,14106,3.2,4.377,109.43,25.45,"yes"
"9_07_36C","Family 9","36C","07",2.4,25,2408,11,0.528,13.21,5.5,"yes"
"9_08_36C","Family 9","36C","08",4.9,25,18651,6.6,5.872,146.81,29.96,"yes"
