plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,imageJ_ID
plate-B,A01,,6,1,,,,,,
plate-B,A02,,5,56,,,,,,
plate-B,A03,,9b,67,,,,,,
plate-B,A04,,1,78,,,,,,
plate-B,B01,,9,12,,,,,,
plate-B,B02,,9,13,,,,,,
plate-B,B03,,7,34,,,,,,
plate-B,B04,,3,89,,,,,,
plate-B,C01,,6,2,,,,,,
plate-B,C02,,,,,,,,,
plate-B,C03,,10,23,,,,,,
plate-B,C04,,8,47,,,,,,
plate-D,A01,,9b,68,,,,,,
plate-D,A02,,6,3,,,,,,
plate-D,A03,,8,46,,,,,,
plate-D,A04,,9,14,,,,,,
plate-D,B01,,5,57,,,,,,
plate-D,B02,,8,45,,,,,,
plate-D,B03,,10,24,,,,,,
plate-D,B04,,1,79,,,,,,
plate-D,C01,,3,90,,,,,,
plate-D,C02,,7,35,,,,,,
plate-D,C03,,10,25,,,,,,
plate-D,C04,,,,,,,,,
plate-F,A01,,7,36,,,,,,
plate-F,A02,,1,80,,,,,,
plate-F,A03,,8,48,,,,,,
plate-F,A04,,6,4,,,,,,
plate-F,B01,,9b,69,,,,,,
plate-F,B02,,1,81,,,,,,
plate-F,B03,,5,58,,,,,,
plate-F,B04,,10,26,,,,,,
plate-F,C01,,7,37,,,,,,
plate-F,C02,,9,15,,,,,,
plate-F,C03,,3,91,,,,,,
plate-F,C04,,,,,,,,,
plate-H,A01,,1,82,,,,,,
plate-H,A02,,8,49,,,,,,
plate-H,A03,,7,38,,,,,,
plate-H,A04,,10,27,,,,,,
plate-H,B01,,,,,,,,,
plate-H,B02,,9,16,,,,,,
plate-H,B03,,5,66,,,,,,
plate-H,B04,,3,92,,,,,,
plate-H,C01,,6,5,,,,,,
plate-H,C02,,9b,70,,,,,,
plate-H,C03,,3,93,,,,,,
plate-H,C04,,5,59,,,,,,
plate-J,A01,,,,,,,,,
plate-J,A02,,1,83,,,,,,
plate-J,A03,,9,17,,,,,,
plate-J,A04,,9b,71,,,,,,
plate-J,B01,,10,29,,,,,,
plate-J,B02,,3,94,,,,,,
plate-J,B03,,6,6,,,,,,
plate-J,B04,,8,50,,,,,,
plate-J,C01,,5,60,,,,,,
plate-J,C02,,7,39,,,,,,
plate-J,C03,,10,28,,,,,,
plate-J,C04,,9b,72,,,,,,
plate-L,A01,,9b,73,,,,,,
plate-L,A02,,7,40,,,,,,
plate-L,A03,,10,30,,,,,,
plate-L,A04,,1,84,,,,,,
plate-L,B01,,8,51,,,,,,
plate-L,B02,,9,18,,,,,,
plate-L,B03,,,,,,,,,
plate-L,B04,,3,95,,,,,,
plate-L,C01,,5,61,,,,,,
plate-L,C02,,7,41,,,,,,
plate-L,C03,,3,96,,,,,,
plate-L,C04,,6,7,,,,,,
plate-N,A01,,,,,,,,,
plate-N,A02,,9,22,,,,,,
plate-N,A03,,8,52,,,,,,
plate-N,A04,,10,31,,,,,,
plate-N,B01,,9b,74,,,,,,
plate-N,B02,,7,42,,,,,,
plate-N,B03,,5,62,,,,,,
plate-N,B04,,6,8,,,,,,
plate-N,C01,,9,19,,,,,,
plate-N,C02,,1,85,,,,,,
plate-N,C03,,9b,77,,,,,,
plate-N,C04,,3,97,,,,,,
plate-P,A01,,10,32,,,,,,
plate-P,A02,,8,53,,,,,,
plate-P,A03,,9b,75,,,,,,
plate-P,A04,,6,9,,,,,,
plate-P,B01,,9,20,,,,,,
plate-P,B02,,1,86,,,,,,
plate-P,B03,,3,98,,,,,,
plate-P,B04,,5,63,,,,,,
plate-P,C01,,7,43,,,,,,
plate-P,C02,,1,87,,,,,,
plate-P,C03,,5,64,,,,,,
plate-P,C04,,8,54,,,,,,
plate-R,A01,,,,,,,,,
plate-R,A02,,,,,,,,,
plate-R,A03,,9,21,,,,,,
plate-R,A04,,5,65,,,,,,
plate-R,B01,,7,44,,,,,,
plate-R,B02,,9b,76,,,,,,
plate-R,B03,,10,33,,,,,,
plate-R,B04,,1,88,,,,,,
plate-R,C01,,8,55,,,,,,
plate-R,C02,,6,10,,,,,,
plate-R,C03,,6,11,,,,,,
plate-R,C04,,3,99,,,,,,
