plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,area_note,
plate-C,A01,FALSE,,C-A01,heat_stress_only,FALSE,,,,,93.7,,
plate-C,A02,FALSE,,C-A02,heat_stress_only,FALSE,,,,,180.7,,
plate-C,A03,FALSE,,C-A03,heat_stress_only,FALSE,,,,,114,,
plate-C,A04,FALSE,,C-A04,heat_stress_only,FALSE,,,,,178.6,,
plate-C,B01,FALSE,,C-B01,heat_stress_only,FALSE,,,,,145.4,,
plate-C,B02,FALSE,,C-B02,heat_stress_only,FALSE,,,,,187.3,,
plate-C,B03,FALSE,,C-B03,heat_stress_only,FALSE,,,,,109,,
plate-C,B04,FALSE,,C-B04,heat_stress_only,FALSE,,,,,117.8,,
plate-C,C01,FALSE,,C-C01,heat_stress_only,FALSE,,,,,153,,
plate-C,C02,FALSE,,C-C02,heat_stress_only,FALSE,,,,,118.7,,
plate-C,C03,FALSE,,C-C03,heat_stress_only,FALSE,,,,,153.6,,
plate-C,C04,FALSE,,C-C04,heat_stress_only,FALSE,,,,,146,,
plate-R,A01,FALSE,,R-A01,heat_mech_no-water,FALSE,,,,,92.4,,
plate-R,A02,FALSE,,R-A02,heat_mech_no-water,FALSE,,,,,137.3,,
plate-R,A03,FALSE,,R-A03,heat_mech_no-water,FALSE,,,,,101.4,,
plate-R,A04,FALSE,,R-A04,heat_mech_no-water,FALSE,,,,,85.3,,
plate-R,B01,FALSE,,R-B01,heat_mech_no-water,FALSE,,,,,212.8,,
plate-R,B02,FALSE,,R-B02,heat_mech_no-water,FALSE,,,,,112.6,,
plate-R,B03,FALSE,,R-B03,heat_mech_no-water,FALSE,,,,,120.4,,
plate-R,B04,FALSE,,R-B04,heat_mech_no-water,FALSE,,,,,100.1,,
plate-R,C01,FALSE,,R-C01,heat_mech_no-water,FALSE,,,,,171.1,,
plate-R,C02,FALSE,,R-C02,heat_mech_no-water,FALSE,,,,,142.7,,
plate-R,C03,FALSE,,R-C03,heat_mech_no-water,FALSE,,,,,117.3,,
plate-R,C04,FALSE,,R-C04,heat_mech_no-water,FALSE,,,,,99.2,,
plate-S,A01,FALSE,,S-A01,heat_mech_with_water,FALSE,,,,,122.6,,
plate-S,A02,FALSE,,S-A02,heat_mech_with_water,FALSE,,,,,156.2,,
plate-S,A03,FALSE,,S-A03,heat_mech_with_water,FALSE,,,,,139.9,photo taken with pink resazurin in well, outline uncertain
plate-S,A04,FALSE,,S-A04,heat_mech_with_water,FALSE,,,,,161.7,,
plate-S,B01,FALSE,,S-B01,heat_mech_with_water,FALSE,,,,,103.1,,
plate-S,B02,FALSE,,S-B02,heat_mech_with_water,FALSE,,,,,96,,
plate-S,B03,FALSE,,S-B03,heat_mech_with_water,FALSE,,,,,64.4,,
plate-S,B04,FALSE,,S-B04,heat_mech_with_water,FALSE,,,,,114.2,,
plate-S,C01,FALSE,,S-C01,heat_mech_with_water,FALSE,,,,,117.5,,
plate-S,C02,FALSE,,S-C02,heat_mech_with_water,FALSE,,,,,126.5,,
plate-S,C03,FALSE,,S-C03,heat_mech_with_water,FALSE,,,,,133.9,,
plate-S,C04,FALSE,,S-C04,heat_mech_with_water,FALSE,,,,,213.5,,
plate-T,A01,FALSE,,T-A01,heat_mech_no-water,FALSE,,,,,66.7,,
plate-T,A02,FALSE,,T-A02,heat_mech_no-water,FALSE,,,,,159.7,,
plate-T,A03,FALSE,,T-A03,heat_mech_no-water,FALSE,,,,,165.2,,
plate-T,A04,FALSE,,T-A04,heat_mech_no-water,FALSE,,,,,135.1,,
plate-T,B01,FALSE,,T-B01,heat_mech_no-water,FALSE,,,,,97.6,,
plate-T,B02,FALSE,,T-B02,heat_mech_no-water,FALSE,,,,,134.1,,
plate-T,B03,FALSE,,T-B03,heat_mech_no-water,FALSE,,,,,100.3,,
plate-T,B04,FALSE,,T-B04,heat_mech_no-water,FALSE,,,,,104.5,,
plate-T,C01,FALSE,,T-C01,heat_mech_no-water,FALSE,,,,,128.2,,
plate-T,C02,FALSE,,T-C02,heat_mech_no-water,FALSE,,,,,168,,
plate-T,C03,FALSE,,T-C03,heat_mech_no-water,FALSE,,,,,181.4,,
plate-T,C04,FALSE,,T-C04,heat_mech_no-water,FALSE,,,,,73.2,,
plate-U,A01,FALSE,,U-A01,heat_mech_with_water,FALSE,,,,,77.3,,
plate-U,A02,FALSE,,U-A02,heat_mech_with_water,FALSE,,,,,176.4,,
plate-U,A03,FALSE,,U-A03,heat_mech_with_water,FALSE,,,,,132.6,,
plate-U,A04,FALSE,,U-A04,heat_mech_with_water,FALSE,,,,,215.9,,
plate-U,B01,FALSE,,U-B01,heat_mech_with_water,FALSE,,,,,125.6,,
plate-U,B02,FALSE,,U-B02,heat_mech_with_water,FALSE,,,,,169.8,,
plate-U,B03,FALSE,,U-B03,heat_mech_with_water,FALSE,,,,,114.4,,
plate-U,B04,FALSE,,U-B04,heat_mech_with_water,FALSE,,,,,85.4,,
plate-U,C01,FALSE,,U-C01,heat_mech_with_water,FALSE,,,,,150.7,,
plate-U,C02,FALSE,,U-C02,heat_mech_with_water,FALSE,,,,,156.6,,
plate-U,C03,FALSE,,U-C03,heat_mech_with_water,FALSE,,,,,162.1,,
plate-U,C04,FALSE,,U-C04,heat_mech_with_water,FALSE,,,,,107.5,,
plate-V,A01,FALSE,,V-A01,heat_stress_only,FALSE,,,,,133.1,,
plate-V,A02,FALSE,,V-A02,heat_stress_only,FALSE,,,,,82,,
plate-V,A03,FALSE,,V-A03,heat_stress_only,FALSE,,,,,130.7,,
plate-V,A04,FALSE,,V-A04,heat_stress_only,FALSE,,,,,103,,
plate-V,B01,FALSE,,V-B01,heat_stress_only,FALSE,,,,,91.3,,
plate-V,B02,FALSE,,V-B02,heat_stress_only,FALSE,,,,,177.4,,
plate-V,B03,FALSE,,V-B03,heat_stress_only,FALSE,,,,,123.4,,
plate-V,B04,FALSE,,V-B04,heat_stress_only,FALSE,,,,,131.1,,
plate-V,C01,FALSE,,V-C01,heat_stress_only,FALSE,,,,,154.6,,
plate-V,C02,FALSE,,V-C02,heat_stress_only,FALSE,,,,,113.7,,
plate-V,C03,FALSE,,V-C03,heat_stress_only,FALSE,,,,,227.6,,
plate-V,C04,FALSE,,V-C04,heat_stress_only,FALSE,,,,,163.5,,
