row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,family_id_group,sample_id_group,treatment_group,weight_g_measurement,width_mm_measurement,length_mm_measurement,area_mm2_measurement,sample_key,value_t0,fold_change,trace_id,mean_blank_rfu,mean_blank_fc,corrected_fc,metabolism_per_area_mm2_measurement
A,1,A1,141,a,0,FALSE,FALSE,NA,6,1,NA,NA,NA,NA,157.843,1,141,1,1,110,1.0112359550561798,-0.011235955056179803,-7.118437343550112e-5
A,2,A2,140,a,0,FALSE,FALSE,NA,6,2,NA,NA,NA,NA,164.228,2,140,1,2,110,1.0112359550561798,-0.011235955056179803,-6.84168050282522e-5
A,3,A3,126,a,0,FALSE,FALSE,NA,6,3,NA,NA,NA,NA,111.06,3,126,1,3,110,1.0112359550561798,-0.011235955056179803,-1.011701337671511e-4
A,4,A4,143,a,0,FALSE,FALSE,NA,6,4,NA,NA,NA,NA,179.695,4,143,1,4,110,1.0112359550561798,-0.011235955056179803,-6.252792262544758e-5
B,1,B1,145,a,0,FALSE,FALSE,NA,6,5,NA,NA,NA,NA,194.889,5,145,1,5,110,1.0112359550561798,-0.011235955056179803,-5.7653100257992e-5
B,2,B2,159,a,0,FALSE,FALSE,NA,6,6,NA,NA,NA,NA,196.563,6,159,1,6,110,1.0112359550561798,-0.011235955056179803,-5.716210607377687e-5
B,3,B3,168,a,0,FALSE,FALSE,NA,6,7,NA,NA,NA,NA,255.284,7,168,1,7,110,1.0112359550561798,-0.011235955056179803,-4.4013549835398234e-5
B,4,B4,157,a,0,FALSE,FALSE,NA,6,8,NA,NA,NA,NA,169.68,8,157,1,8,110,1.0112359550561798,-0.011235955056179803,-6.621849985961694e-5
C,1,C1,145,a,0,FALSE,FALSE,NA,6,9,NA,NA,NA,NA,132.507,9,145,1,9,110,1.0112359550561798,-0.011235955056179803,-8.479518105594272e-5
C,2,C2,139,a,0,FALSE,FALSE,NA,6,10,NA,NA,NA,NA,125.689,10,139,1,10,110,1.0112359550561798,-0.011235955056179803,-8.939489578387769e-5
C,3,C3,138,a,0,FALSE,FALSE,NA,6,11,NA,NA,NA,NA,125.485,11,138,1,11,110,1.0112359550561798,-0.011235955056179803,-8.95402243788485e-5
A,1,A1,175,a,1,FALSE,FALSE,NA,6,1,NA,NA,NA,NA,157.843,1,141,1.2411347517730495,1,108,0.9928498467824312,0.2482849049906184,0.0015729864801772547
A,2,A2,159,a,1,FALSE,FALSE,NA,6,2,NA,NA,NA,NA,164.228,2,140,1.1357142857142857,2,108,0.9928498467824312,0.14286443893185452,8.699152332845466e-4
A,3,A3,146,a,1,FALSE,FALSE,NA,6,3,NA,NA,NA,NA,111.06,3,126,1.1587301587301588,3,108,0.9928498467824312,0.16588031194772768,0.0014936098680688608
A,4,A4,186,a,1,FALSE,FALSE,NA,6,4,NA,NA,NA,NA,179.695,4,143,1.3006993006993006,4,108,0.9928498467824312,0.30784945391686946,0.001713177628297223
B,1,B1,246,a,1,FALSE,FALSE,NA,6,5,NA,NA,NA,NA,194.889,5,145,1.696551724137931,5,108,0.9928498467824312,0.7037018773554999,0.0036107829449353217
B,2,B2,194,a,1,FALSE,FALSE,NA,6,6,NA,NA,NA,NA,196.563,6,159,1.220125786163522,6,108,0.9928498467824312,0.2272759393810908,0.0011562498505878055
B,3,B3,204,a,1,FALSE,FALSE,NA,6,7,NA,NA,NA,NA,255.284,7,168,1.2142857142857142,7,108,0.9928498467824312,0.22143586750328303,8.674098944833324e-4
B,4,B4,188,a,1,FALSE,FALSE,NA,6,8,NA,NA,NA,NA,169.68,8,157,1.197452229299363,8,108,0.9928498467824312,0.20460238251693186,0.0012058131925797493
C,1,C1,171,a,1,FALSE,FALSE,NA,6,9,NA,NA,NA,NA,132.507,9,145,1.1793103448275861,9,108,0.9928498467824312,0.18646049804515497,0.0014071747005452917
C,2,C2,166,a,1,FALSE,FALSE,NA,6,10,NA,NA,NA,NA,125.689,10,139,1.1942446043165467,10,108,0.9928498467824312,0.2013947575341155,0.0016023260391451561
C,3,C3,153,a,1,FALSE,FALSE,NA,6,11,NA,NA,NA,NA,125.485,11,138,1.108695652173913,11,108,0.9928498467824312,0.11584580539148193,9.231844873210498e-4
A,1,A1,207,a,2,FALSE,FALSE,NA,6,1,NA,NA,NA,NA,157.843,1,141,1.4680851063829787,1,108,0.9928498467824312,0.4752352596005476,0.003010809852831913
A,2,A2,183,a,2,FALSE,FALSE,NA,6,2,NA,NA,NA,NA,164.228,2,140,1.3071428571428572,2,108,0.9928498467824312,0.314293010360426,0.001913760201429878
A,3,A3,156,a,2,FALSE,FALSE,NA,6,3,NA,NA,NA,NA,111.06,3,126,1.2380952380952381,3,108,0.9928498467824312,0.24524539131280698,0.002208224304995561
A,4,A4,216,a,2,FALSE,FALSE,NA,6,4,NA,NA,NA,NA,179.695,4,143,1.5104895104895104,4,108,0.9928498467824312,0.5176396637070793,0.0028806570227723604
B,1,B1,249,a,2,FALSE,FALSE,NA,6,5,NA,NA,NA,NA,194.889,5,145,1.717241379310345,5,108,0.9928498467824312,0.7243915325279138,0.0037169441709276243
B,2,B2,259,a,2,FALSE,FALSE,NA,6,6,NA,NA,NA,NA,196.563,6,159,1.628930817610063,6,108,0.9928498467824312,0.6360809708276318,0.0032360157854104377
B,3,B3,260,a,2,FALSE,FALSE,NA,6,7,NA,NA,NA,NA,255.284,7,168,1.5476190476190477,7,108,0.9928498467824312,0.5547692008366165,0.002173145206266811
B,4,B4,244,a,2,FALSE,FALSE,NA,6,8,NA,NA,NA,NA,169.68,8,157,1.5541401273885351,8,108,0.9928498467824312,0.561290280606104,0.0033079342327092406
C,1,C1,228,a,2,FALSE,FALSE,NA,6,9,NA,NA,NA,NA,132.507,9,145,1.5724137931034483,9,108,0.9928498467824312,0.5795639463210172,0.00437383644879906
C,2,C2,195,a,2,FALSE,FALSE,NA,6,10,NA,NA,NA,NA,125.689,10,139,1.4028776978417266,10,108,0.9928498467824312,0.4100278510592954,0.0032622413342400323
C,3,C3,176,a,2,FALSE,FALSE,NA,6,11,NA,NA,NA,NA,125.485,11,138,1.2753623188405796,11,108,0.9928498467824312,0.28251247205814844,0.0022513644822739647
A,1,A1,616,a,27.5,FALSE,FALSE,NA,6,1,NA,NA,NA,NA,157.843,1,141,4.368794326241135,1,123,1.1307456588355465,3.2380486674055886,0.02051436343332038
A,2,A2,566,a,27.5,FALSE,FALSE,NA,6,2,NA,NA,NA,NA,164.228,2,140,4.042857142857143,2,123,1.1307456588355465,2.9121114840215965,0.017732125362432693
A,3,A3,306,a,27.5,FALSE,FALSE,NA,6,3,NA,NA,NA,NA,111.06,3,126,2.4285714285714284,3,123,1.1307456588355465,1.297825769735882,0.01168580739902649
A,4,A4,743,a,27.5,FALSE,FALSE,NA,6,4,NA,NA,NA,NA,179.695,4,143,5.195804195804196,4,123,1.1307456588355465,4.06505853696865,0.022621990244406632
B,1,B1,605,a,27.5,FALSE,FALSE,NA,6,5,NA,NA,NA,NA,194.889,5,145,4.172413793103448,5,123,1.1307456588355465,3.041668134267902,0.015607182212787288
B,2,B2,905,a,27.5,FALSE,FALSE,NA,6,6,NA,NA,NA,NA,196.563,6,159,5.6918238993710695,6,123,1.1307456588355465,4.561078240535523,0.0232041545994695
B,3,B3,940,a,27.5,FALSE,FALSE,NA,6,7,NA,NA,NA,NA,255.284,7,168,5.595238095238095,7,123,1.1307456588355465,4.464492436402549,0.01748833627020318
B,4,B4,1013,a,27.5,FALSE,FALSE,NA,6,8,NA,NA,NA,NA,169.68,8,157,6.452229299363057,8,123,1.1307456588355465,5.321483640527511,0.03136187906958693
C,1,C1,628,a,27.5,FALSE,FALSE,NA,6,9,NA,NA,NA,NA,132.507,9,145,4.3310344827586205,9,123,1.1307456588355465,3.2002888239230742,0.02415184725277211
C,2,C2,565,a,27.5,FALSE,FALSE,NA,6,10,NA,NA,NA,NA,125.689,10,139,4.0647482014388485,10,123,1.1307456588355465,2.9340025426033023,0.023343351785783183
C,3,C3,581,a,27.5,FALSE,FALSE,NA,6,11,NA,NA,NA,NA,125.485,11,138,4.2101449275362315,11,123,1.1307456588355465,3.0793992687006853,0.024539979030965338
