contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
1 - 10,0.13605471939926542,0.14524418160512315,90,0.9367309443703485,0.9901651212176561,family:treatment,metabolism_per_area_mm2_measurement
1 - 3,0.13237728626891027,0.14524418160512337,90,0.9114119740011725,0.9917913752356505,family:treatment,metabolism_per_area_mm2_measurement
1 - 5,-0.07273098631942683,0.14524418160512323,90,-0.500749740992457,0.9998887216511914,family:treatment,metabolism_per_area_mm2_measurement
1 - 6,0.3152361395871586,0.14524418160512334,90,2.170387385597269,0.4336633976824159,family:treatment,metabolism_per_area_mm2_measurement
1 - 7,0.3430270416693891,0.14524418160512334,90,2.3617265619767114,0.31778904928296003,family:treatment,metabolism_per_area_mm2_measurement
1 - 8,0.11457467840623191,0.14524418160512326,90,0.7888417776192039,0.9969259561851991,family:treatment,metabolism_per_area_mm2_measurement
1 - 9,-0.11420656793903392,0.14524418160512342,90,-0.7863073527415251,0.9969940311865583,family:treatment,metabolism_per_area_mm2_measurement
1 - 9b,-0.19894712202143408,0.14524418160512342,90,-1.3697424559306155,0.9061379989298948,family:treatment,metabolism_per_area_mm2_measurement
10 - 3,-0.003677433130355151,0.1452441816051234,90,-0.025318970369174718,1,family:treatment,metabolism_per_area_mm2_measurement
10 - 5,-0.20878570571869226,0.14524418160512334,90,-1.437480685362804,0.8801331551057456,family:treatment,metabolism_per_area_mm2_measurement
10 - 6,0.1791814201878932,0.14524418160512317,90,1.2336564412269233,0.9467539176681266,family:treatment,metabolism_per_area_mm2_measurement
10 - 7,0.20697232227012366,0.14524418160512337,90,1.4249956176063638,0.8852188883370542,family:treatment,metabolism_per_area_mm2_measurement
10 - 8,-0.02148004099303351,0.14524418160512337,90,-0.14788916675114383,0.9999999921285934,family:treatment,metabolism_per_area_mm2_measurement
10 - 9,-0.25026128733829933,0.1452441816051234,90,-1.7230382971118723,0.7308707105848584,family:treatment,metabolism_per_area_mm2_measurement
10 - 9b,-0.3350018414206995,0.1452441816051234,90,-2.3064734003009626,0.34945962527052865,family:treatment,metabolism_per_area_mm2_measurement
3 - 5,-0.20510827258833708,0.14524418160512342,90,-1.4121617149936283,0.8903091468474934,family:treatment,metabolism_per_area_mm2_measurement
3 - 6,0.18285885331824836,0.14524418160512348,90,1.2589754115960954,0.9403380299518879,family:treatment,metabolism_per_area_mm2_measurement
3 - 7,0.2106497554004788,0.14524418160512348,90,1.4503145879755375,0.8747682997379782,family:treatment,metabolism_per_area_mm2_measurement
3 - 8,-0.017802607862678357,0.14524418160512345,90,-0.12257019638196905,0.9999999982369339,family:treatment,metabolism_per_area_mm2_measurement
3 - 9,-0.24658385420794418,0.1452441816051235,90,-1.6977193267426962,0.7463174140517873,family:treatment,metabolism_per_area_mm2_measurement
3 - 9b,-0.3313244082903444,0.1452441816051235,90,-2.2811544299317865,0.36449600803834037,family:treatment,metabolism_per_area_mm2_measurement
5 - 6,0.38796712590658544,0.1452441816051234,90,2.671137126589725,0.17323903605572177,family:treatment,metabolism_per_area_mm2_measurement
5 - 7,0.4157580279888159,0.1452441816051234,90,2.8624763029691667,0.11216162442947031,family:treatment,metabolism_per_area_mm2_measurement
5 - 8,0.18730566472565874,0.14524418160512337,90,1.2895915186116598,0.9318978910537985,family:treatment,metabolism_per_area_mm2_measurement
5 - 9,-0.041475581619607085,0.14524418160512342,90,-0.28555761174906885,0.9999985571344803,family:treatment,metabolism_per_area_mm2_measurement
5 - 9b,-0.12621613570200724,0.14524418160512345,90,-0.868992714938159,0.9940325827205106,family:treatment,metabolism_per_area_mm2_measurement
6 - 7,0.02779090208223045,0.1452441816051234,90,0.19133917637944228,0.9999999390001777,family:treatment,metabolism_per_area_mm2_measurement
6 - 8,-0.2006614611809267,0.14524418160512337,90,-1.3815456079780655,0.9018872403635099,family:treatment,metabolism_per_area_mm2_measurement
6 - 9,-0.4294427075261925,0.14524418160512342,90,-2.956694738338793,0.08915441772688182,family:treatment,metabolism_per_area_mm2_measurement
6 - 9b,-0.5141832616085927,0.14524418160512345,90,-3.540129841527883,0.017567535220396446,family:treatment,metabolism_per_area_mm2_measurement
7 - 8,-0.22845236326315715,0.14524418160512345,90,-1.572884784357507,0.8167492005250525,family:treatment,metabolism_per_area_mm2_measurement
7 - 9,-0.45723360960842296,0.14524418160512348,90,-3.148033914718234,0.054305590777828705,family:treatment,metabolism_per_area_mm2_measurement
7 - 9b,-0.5419741636908232,0.14524418160512348,90,-3.731469017907324,0.00964041110644065,family:treatment,metabolism_per_area_mm2_measurement
8 - 9,-0.2287812463452658,0.14524418160512348,90,-1.5751491303607275,0.8155668607374815,family:treatment,metabolism_per_area_mm2_measurement
8 - 9b,-0.313521800427666,0.14524418160512348,90,-2.1585842335498175,0.44131536667608684,family:treatment,metabolism_per_area_mm2_measurement
9 - 9b,-0.08474055408240017,0.14524418160512348,90,-0.5834351031890902,0.9996502567126242,family:treatment,metabolism_per_area_mm2_measurement
1 - 10,0.13605471939926542,0.14524418160512315,90,0.9367309443703485,0.9901651212176561,family,metabolism_per_area_mm2_measurement
1 - 3,0.13237728626891027,0.14524418160512337,90,0.9114119740011725,0.9917913752356505,family,metabolism_per_area_mm2_measurement
1 - 5,-0.07273098631942683,0.14524418160512323,90,-0.500749740992457,0.9998887216511914,family,metabolism_per_area_mm2_measurement
1 - 6,0.3152361395871586,0.14524418160512334,90,2.170387385597269,0.4336633976824159,family,metabolism_per_area_mm2_measurement
1 - 7,0.3430270416693891,0.14524418160512334,90,2.3617265619767114,0.31778904928296003,family,metabolism_per_area_mm2_measurement
1 - 8,0.11457467840623191,0.14524418160512326,90,0.7888417776192039,0.9969259561851991,family,metabolism_per_area_mm2_measurement
1 - 9,-0.11420656793903392,0.14524418160512342,90,-0.7863073527415251,0.9969940311865583,family,metabolism_per_area_mm2_measurement
1 - 9b,-0.19894712202143408,0.14524418160512342,90,-1.3697424559306155,0.9061379989298948,family,metabolism_per_area_mm2_measurement
10 - 3,-0.003677433130355151,0.1452441816051234,90,-0.025318970369174718,1,family,metabolism_per_area_mm2_measurement
10 - 5,-0.20878570571869226,0.14524418160512334,90,-1.437480685362804,0.8801331551057456,family,metabolism_per_area_mm2_measurement
10 - 6,0.1791814201878932,0.14524418160512317,90,1.2336564412269233,0.9467539176681266,family,metabolism_per_area_mm2_measurement
10 - 7,0.20697232227012366,0.14524418160512337,90,1.4249956176063638,0.8852188883370542,family,metabolism_per_area_mm2_measurement
10 - 8,-0.02148004099303351,0.14524418160512337,90,-0.14788916675114383,0.9999999921285934,family,metabolism_per_area_mm2_measurement
10 - 9,-0.25026128733829933,0.1452441816051234,90,-1.7230382971118723,0.7308707105848584,family,metabolism_per_area_mm2_measurement
10 - 9b,-0.3350018414206995,0.1452441816051234,90,-2.3064734003009626,0.34945962527052865,family,metabolism_per_area_mm2_measurement
3 - 5,-0.20510827258833708,0.14524418160512342,90,-1.4121617149936283,0.8903091468474934,family,metabolism_per_area_mm2_measurement
3 - 6,0.18285885331824836,0.14524418160512348,90,1.2589754115960954,0.9403380299518879,family,metabolism_per_area_mm2_measurement
3 - 7,0.2106497554004788,0.14524418160512348,90,1.4503145879755375,0.8747682997379782,family,metabolism_per_area_mm2_measurement
