trace_id,family_id_group,treatment_group,AUC,n_timepoints,metric
1,7,NA,0.035890380506575094,9,metabolism_per_area_mm2_measurement
10,5,NA,0.08125733155335012,9,metabolism_per_area_mm2_measurement
11,1,NA,0.048883302486280096,9,metabolism_per_area_mm2_measurement
12,9,NA,0.012182991367042878,9,metabolism_per_area_mm2_measurement
13,7,NA,0.050468009476564664,9,metabolism_per_area_mm2_measurement
14,5,NA,0.03382367354633173,9,metabolism_per_area_mm2_measurement
15,1,NA,0.06284776826142927,9,metabolism_per_area_mm2_measurement
16,9,NA,0.056945190151524244,9,metabolism_per_area_mm2_measurement
17,7,NA,0.06118288154748032,9,metabolism_per_area_mm2_measurement
18,5,NA,0.05363668455742913,9,metabolism_per_area_mm2_measurement
19,1,NA,0.05893017084340397,9,metabolism_per_area_mm2_measurement
2,5,NA,0.005972626779452703,9,metabolism_per_area_mm2_measurement
20,9,NA,0.007263089912882783,9,metabolism_per_area_mm2_measurement
21,7,NA,0.06104401936769072,9,metabolism_per_area_mm2_measurement
22,5,NA,0.030620368710861653,9,metabolism_per_area_mm2_measurement
23,1,NA,0.06704205301365129,9,metabolism_per_area_mm2_measurement
24,9,NA,0.06718612884581203,9,metabolism_per_area_mm2_measurement
25,7,NA,0.07031749387023392,9,metabolism_per_area_mm2_measurement
26,5,NA,0.06145699182107679,9,metabolism_per_area_mm2_measurement
27,1,NA,0.008017233219699167,9,metabolism_per_area_mm2_measurement
28,9,NA,0.012126711033070777,9,metabolism_per_area_mm2_measurement
29,7,NA,0.060516417870222744,9,metabolism_per_area_mm2_measurement
3,1,NA,0.04198795937032197,9,metabolism_per_area_mm2_measurement
30,5,NA,0.03668904777131962,9,metabolism_per_area_mm2_measurement
31,1,NA,0.046683546798019726,9,metabolism_per_area_mm2_measurement
32,9,NA,0.059432233652059296,9,metabolism_per_area_mm2_measurement
33,7,NA,0.06604010720807248,9,metabolism_per_area_mm2_measurement
34,5,NA,0.026973283488273225,9,metabolism_per_area_mm2_measurement
35,1,NA,0.007416262370690417,9,metabolism_per_area_mm2_measurement
36,9,NA,0.011478812903352804,9,metabolism_per_area_mm2_measurement
37,7,NA,0.010229906102279468,9,metabolism_per_area_mm2_measurement
38,5,NA,0.022036037208390397,9,metabolism_per_area_mm2_measurement
39,1,NA,0.043218911870486175,9,metabolism_per_area_mm2_measurement
4,9,NA,0.04346118504909162,9,metabolism_per_area_mm2_measurement
40,9,NA,0.009644211113068488,9,metabolism_per_area_mm2_measurement
41,7,NA,0.052071729489210024,9,metabolism_per_area_mm2_measurement
42,5,NA,0.06410950333655185,9,metabolism_per_area_mm2_measurement
43,1,NA,0.07435221656689917,9,metabolism_per_area_mm2_measurement
44,9,NA,0.011810063931385685,9,metabolism_per_area_mm2_measurement
45,7,NA,0.04289769716451833,9,metabolism_per_area_mm2_measurement
46,5,NA,0.050216372851686536,9,metabolism_per_area_mm2_measurement
47,1,NA,0.04319911320509228,9,metabolism_per_area_mm2_measurement
48,9,NA,0.012679071996683933,9,metabolism_per_area_mm2_measurement
49,7,NA,0.05460619194798204,9,metabolism_per_area_mm2_measurement
5,7,NA,0.03869679171719611,9,metabolism_per_area_mm2_measurement
50,5,NA,0.046337010265145535,9,metabolism_per_area_mm2_measurement
51,1,NA,0.06897936408054119,9,metabolism_per_area_mm2_measurement
52,9,NA,0.007966358973482773,9,metabolism_per_area_mm2_measurement
53,7,NA,0.04050290150254217,9,metabolism_per_area_mm2_measurement
54,5,NA,0.007140978262633403,9,metabolism_per_area_mm2_measurement
55,1,NA,0.02481105080758743,9,metabolism_per_area_mm2_measurement
56,9,NA,0.009260703224124775,9,metabolism_per_area_mm2_measurement
57,7,NA,0.05818187735804652,9,metabolism_per_area_mm2_measurement
58,5,NA,0.03660461349621035,9,metabolism_per_area_mm2_measurement
59,1,NA,0.04413369647587004,9,metabolism_per_area_mm2_measurement
6,5,NA,0.007250844742785949,9,metabolism_per_area_mm2_measurement
60,9,NA,0.009618149072232208,9,metabolism_per_area_mm2_measurement
61,7,NA,0.035986435986865496,9,metabolism_per_area_mm2_measurement
62,5,NA,0.04019177439478523,9,metabolism_per_area_mm2_measurement
63,1,NA,0.006923000289900266,9,metabolism_per_area_mm2_measurement
64,9,NA,0.009010514746353653,9,metabolism_per_area_mm2_measurement
65,7,NA,0.03643093558658087,9,metabolism_per_area_mm2_measurement
66,5,NA,0.018893940008297416,9,metabolism_per_area_mm2_measurement
67,1,NA,0.06335759019599703,9,metabolism_per_area_mm2_measurement
68,9,NA,0.06547706251639139,9,metabolism_per_area_mm2_measurement
69,7,NA,0.04278072539573121,9,metabolism_per_area_mm2_measurement
7,1,NA,0.06929412680615227,9,metabolism_per_area_mm2_measurement
72,9,NA,0.04534165270368174,9,metabolism_per_area_mm2_measurement
73,7,NA,0.036803926434803624,9,metabolism_per_area_mm2_measurement
74,5,NA,0.050090626084442806,9,metabolism_per_area_mm2_measurement
75,1,NA,0.0334682992659322,9,metabolism_per_area_mm2_measurement
76,9,NA,0.05885912750975107,9,metabolism_per_area_mm2_measurement
77,7,NA,0.07698126964737313,9,metabolism_per_area_mm2_measurement
78,5,NA,0.034968932409966624,9,metabolism_per_area_mm2_measurement
79,1,NA,0.03330296298319419,9,metabolism_per_area_mm2_measurement
8,9,NA,0.038496851069948504,9,metabolism_per_area_mm2_measurement
80,9,NA,0.02198565550297193,9,metabolism_per_area_mm2_measurement
9,7,NA,0.08991810276562544,9,metabolism_per_area_mm2_measurement
