row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,family_id_group,sample_id_group,treatment_group,width_mm_measurement,length_mm_measurement,weight_mg_measurement,area_mm2_measurement,sample_key,value_t0,fold_change,trace_id,mean_blank_rfu,mean_blank_fc,corrected_fc,metabolism_per_area_mm2_measurement
A,1,A1,596,a,0,FALSE,FALSE,NA,7,1,NA,NA,NA,NA,537.864,1,596,1,1,663.3333333333334,1,0,0
A,2,A2,597,a,0,FALSE,FALSE,NA,5,2,NA,NA,NA,NA,585.502,2,597,1,2,663.3333333333334,1,0,0
A,3,A3,605,a,0,FALSE,FALSE,NA,1,3,NA,NA,NA,NA,713.266,3,605,1,3,663.3333333333334,1,0,0
A,4,A4,613,a,0,FALSE,FALSE,NA,9,4,NA,NA,NA,NA,757.481,4,613,1,4,663.3333333333334,1,0,0
A,5,A5,601,a,0,FALSE,FALSE,NA,7,5,NA,NA,NA,NA,822.542,5,601,1,5,663.3333333333334,1,0,0
A,6,A6,626,a,0,FALSE,FALSE,NA,5,6,NA,NA,NA,NA,680.527,6,626,1,6,663.3333333333334,1,0,0
A,7,A7,626,a,0,FALSE,FALSE,NA,1,7,NA,NA,NA,NA,348.031,7,626,1,7,663.3333333333334,1,0,0
A,8,A8,626,a,0,FALSE,FALSE,NA,9,8,NA,NA,NA,NA,337.656,8,626,1,8,663.3333333333334,1,0,0
A,9,A9,610,a,0,FALSE,FALSE,NA,7,9,NA,NA,NA,NA,548.788,9,610,1,9,663.3333333333334,1,0,0
A,10,A10,636,a,0,FALSE,FALSE,NA,5,10,NA,NA,NA,NA,337.202,10,636,1,10,663.3333333333334,1,0,0
A,11,A11,611,a,0,FALSE,FALSE,NA,1,11,NA,NA,NA,NA,486.344,11,611,1,11,663.3333333333334,1,0,0
A,12,A12,628,a,0,FALSE,FALSE,NA,9,12,NA,NA,NA,NA,549.286,12,628,1,12,663.3333333333334,1,0,0
B,1,B1,592,a,0,FALSE,FALSE,NA,7,13,NA,NA,NA,NA,609.834,13,592,1,13,663.3333333333334,1,0,0
B,2,B2,594,a,0,FALSE,FALSE,NA,5,14,NA,NA,NA,NA,1497.761,14,594,1,14,663.3333333333334,1,0,0
B,3,B3,608,a,0,FALSE,FALSE,NA,1,15,NA,NA,NA,NA,617.719,15,608,1,15,663.3333333333334,1,0,0
B,4,B4,600,a,0,FALSE,FALSE,NA,9,16,NA,NA,NA,NA,444.111,16,600,1,16,663.3333333333334,1,0,0
B,5,B5,606,a,0,FALSE,FALSE,NA,7,17,NA,NA,NA,NA,577.337,17,606,1,17,663.3333333333334,1,0,0
B,6,B6,604,a,0,FALSE,FALSE,NA,5,18,NA,NA,NA,NA,570.507,18,604,1,18,663.3333333333334,1,0,0
B,7,B7,631,a,0,FALSE,FALSE,NA,1,19,NA,NA,NA,NA,382.516,19,631,1,19,663.3333333333334,1,0,0
B,8,B8,608,a,0,FALSE,FALSE,NA,9,20,NA,NA,NA,NA,1026.829,20,608,1,20,663.3333333333334,1,0,0
B,9,B9,596,a,0,FALSE,FALSE,NA,7,21,NA,NA,NA,NA,504.986,21,596,1,21,663.3333333333334,1,0,0
B,10,B10,610,a,0,FALSE,FALSE,NA,5,22,NA,NA,NA,NA,1199.943,22,610,1,22,663.3333333333334,1,0,0
B,11,B11,607,a,0,FALSE,FALSE,NA,1,23,NA,NA,NA,NA,460.406,23,607,1,23,663.3333333333334,1,0,0
B,12,B12,596,a,0,FALSE,FALSE,NA,9,24,NA,NA,NA,NA,187.493,24,596,1,24,663.3333333333334,1,0,0
C,1,C1,478,a,0,FALSE,FALSE,NA,7,25,NA,NA,NA,NA,956.614,25,478,1,25,663.3333333333334,1,0,0
C,2,C2,547,a,0,FALSE,FALSE,NA,5,26,NA,NA,NA,NA,848.654,26,547,1,26,663.3333333333334,1,0,0
C,3,C3,581,a,0,FALSE,FALSE,NA,1,27,NA,NA,NA,NA,971.297,27,581,1,27,663.3333333333334,1,0,0
