trace_id,family_id_group,treatment_group,AUC,n_timepoints,metric
c-01,NA,control,9.882713759615071e-4,7,metabolism_per_area_mm2_measurement
c-02,NA,control,6.628681920537346e-4,7,metabolism_per_area_mm2_measurement
c-03,NA,control,0.0010276558608253912,7,metabolism_per_area_mm2_measurement
c-04,NA,control,0.0011466118409885666,7,metabolism_per_area_mm2_measurement
c-05,NA,control,0.0014966358018264363,7,metabolism_per_area_mm2_measurement
c-06,NA,control,8.062556556307306e-4,7,metabolism_per_area_mm2_measurement
c-07,NA,control,6.211651931811796e-4,7,metabolism_per_area_mm2_measurement
c-08,NA,control,7.946030741072535e-4,7,metabolism_per_area_mm2_measurement
c-09,NA,control,7.734643760850907e-4,7,metabolism_per_area_mm2_measurement
c-10,NA,control,6.023249214506569e-4,7,metabolism_per_area_mm2_measurement
c-11,NA,control,3.2821977239015426e-4,7,metabolism_per_area_mm2_measurement
c-12,NA,control,9.440354893575247e-4,7,metabolism_per_area_mm2_measurement
c-13,NA,control,6.366635718509442e-4,7,metabolism_per_area_mm2_measurement
c-14,NA,control,6.863932721408126e-4,7,metabolism_per_area_mm2_measurement
c-15,NA,control,6.166212476983685e-4,7,metabolism_per_area_mm2_measurement
c-16,NA,control,0.0011249891804826426,7,metabolism_per_area_mm2_measurement
c-17,NA,control,8.934149822063948e-4,7,metabolism_per_area_mm2_measurement
c-18,NA,control,8.28348115463301e-4,7,metabolism_per_area_mm2_measurement
c-19,NA,control,0.001211773591180786,7,metabolism_per_area_mm2_measurement
c-20,NA,control,4.257374849518737e-4,7,metabolism_per_area_mm2_measurement
c-21,NA,control,6.384486136988949e-4,7,metabolism_per_area_mm2_measurement
c-22,NA,control,8.507051325112848e-4,7,metabolism_per_area_mm2_measurement
c-23,NA,control,6.715702792922528e-4,7,metabolism_per_area_mm2_measurement
c-24,NA,control,7.993554512571132e-4,7,metabolism_per_area_mm2_measurement
c-25,NA,control,0.0075646028025689455,7,metabolism_per_area_mm2_measurement
c-26,NA,control,7.339879704664495e-4,7,metabolism_per_area_mm2_measurement
c-27,NA,control,0.0024718027668586416,7,metabolism_per_area_mm2_measurement
c-28,NA,control,0.0010027185851220755,7,metabolism_per_area_mm2_measurement
c-29,NA,control,0.001767048321070573,7,metabolism_per_area_mm2_measurement
c-30,NA,control,0.0011483874225862703,7,metabolism_per_area_mm2_measurement
c-31,NA,control,0.006868883848424879,7,metabolism_per_area_mm2_measurement
c-32,NA,control,4.2575042872745547e-4,7,metabolism_per_area_mm2_measurement
c-33,NA,control,0.00518493969339355,7,metabolism_per_area_mm2_measurement
c-34,NA,control,0.004181579501382011,7,metabolism_per_area_mm2_measurement
c-35,NA,control,6.148472043937358e-4,7,metabolism_per_area_mm2_measurement
c-36,NA,control,5.602709204926741e-4,7,metabolism_per_area_mm2_measurement
c-37,NA,control,6.152383313494996e-4,7,metabolism_per_area_mm2_measurement
c-38,NA,control,6.301836972950415e-4,7,metabolism_per_area_mm2_measurement
c-39,NA,control,4.071325104845378e-4,7,metabolism_per_area_mm2_measurement
c-40,NA,control,6.387097083955096e-4,7,metabolism_per_area_mm2_measurement
c-41,NA,control,4.8612740408857043e-4,7,metabolism_per_area_mm2_measurement
c-42,NA,control,9.899612383606397e-4,7,metabolism_per_area_mm2_measurement
c-43,NA,control,0.0013499241368496386,7,metabolism_per_area_mm2_measurement
c-44,NA,control,7.317623376104951e-4,7,metabolism_per_area_mm2_measurement
c-45,NA,control,5.237988624884178e-4,7,metabolism_per_area_mm2_measurement
c-46,NA,control,7.969605630003328e-4,7,metabolism_per_area_mm2_measurement
oae-01,NA,oae,4.2442841345808024e-4,7,metabolism_per_area_mm2_measurement
oae-02,NA,oae,7.261390232929066e-4,7,metabolism_per_area_mm2_measurement
oae-03,NA,oae,0.00671873522665216,7,metabolism_per_area_mm2_measurement
oae-04,NA,oae,9.135881791339693e-4,7,metabolism_per_area_mm2_measurement
oae-05,NA,oae,0.0016741919818987498,7,metabolism_per_area_mm2_measurement
oae-06,NA,oae,9.380586880114655e-4,7,metabolism_per_area_mm2_measurement
oae-07,NA,oae,0.0010310902700888707,7,metabolism_per_area_mm2_measurement
oae-08,NA,oae,0.0012280661052617191,7,metabolism_per_area_mm2_measurement
oae-09,NA,oae,5.715288922091097e-4,7,metabolism_per_area_mm2_measurement
oae-10,NA,oae,4.58911936448208e-4,7,metabolism_per_area_mm2_measurement
oae-11,NA,oae,8.056537660056178e-4,7,metabolism_per_area_mm2_measurement
oae-12,NA,oae,0.0010014501630237107,7,metabolism_per_area_mm2_measurement
oae-13,NA,oae,0.007105238469171399,7,metabolism_per_area_mm2_measurement
oae-14,NA,oae,6.112784772700132e-4,7,metabolism_per_area_mm2_measurement
oae-15,NA,oae,0.0042984195198399935,7,metabolism_per_area_mm2_measurement
oae-16,NA,oae,0.004707757208260973,7,metabolism_per_area_mm2_measurement
oae-17,NA,oae,6.303758635893163e-4,7,metabolism_per_area_mm2_measurement
oae-18,NA,oae,0.002130214465007151,7,metabolism_per_area_mm2_measurement
oae-19,NA,oae,0.009719128425864688,7,metabolism_per_area_mm2_measurement
oae-20,NA,oae,0.006352099507042325,7,metabolism_per_area_mm2_measurement
oae-21,NA,oae,0.006417943576213327,7,metabolism_per_area_mm2_measurement
oae-22,NA,oae,0.001000457140246572,7,metabolism_per_area_mm2_measurement
oae-23,NA,oae,0.004993065680048853,7,metabolism_per_area_mm2_measurement
oae-24,NA,oae,5.046915866549509e-4,7,metabolism_per_area_mm2_measurement
oae-25,NA,oae,0.0024329866334223613,7,metabolism_per_area_mm2_measurement
oae-26,NA,oae,5.703300646602276e-4,7,metabolism_per_area_mm2_measurement
oae-27,NA,oae,0.0065507341051615495,7,metabolism_per_area_mm2_measurement
oae-28,NA,oae,6.616448607898841e-4,7,metabolism_per_area_mm2_measurement
oae-29,NA,oae,5.747952195379229e-4,7,metabolism_per_area_mm2_measurement
