trace_id,plate_id,well_id,treatment_group,area_mm2_measurement,auc,metric,window
c-a01,c,A1,c,93.7,7.275480769230769,fold_change,acute_0_2h
c-a02,c,A2,c,180.7,2.87455035971223,fold_change,acute_0_2h
c-a03,c,A3,c,114,3.9899038461538456,fold_change,acute_0_2h
c-a04,c,A4,c,178.6,2.833185053380783,fold_change,acute_0_2h
c-b01,c,B1,c,145.4,7.608303249097473,fold_change,acute_0_2h
c-b02,c,B2,c,187.3,13.011581469648561,fold_change,acute_0_2h
c-b03,c,B3,c,109,2.162878787878788,fold_change,acute_0_2h
c-b04,c,B4,c,117.8,8.823033707865168,fold_change,acute_0_2h
c-c01,c,C1,c,153,9.955882352941176,fold_change,acute_0_2h
c-c02,c,C2,c,118.7,10.681049822064058,fold_change,acute_0_2h
c-c03,c,C3,c,153.6,9.252248201438848,fold_change,acute_0_2h
c-c04,c,C4,c,146,2.93017578125,fold_change,acute_0_2h
r-a01,r,A1,r,92.4,6.8014705882352935,fold_change,acute_0_2h
r-a02,r,A2,r,137.3,2.7913568773234196,fold_change,acute_0_2h
r-a03,r,A3,r,101.4,2.622605363984674,fold_change,acute_0_2h
r-a04,r,A4,r,85.3,3.276923076923077,fold_change,acute_0_2h
r-b01,r,B1,r,212.8,4.428343949044586,fold_change,acute_0_2h
r-b02,r,B2,r,112.6,10.296929824561403,fold_change,acute_0_2h
r-b03,r,B3,r,120.4,5.1712454212454215,fold_change,acute_0_2h
r-b04,r,B4,r,100.1,3.468390804597701,fold_change,acute_0_2h
r-c01,r,C1,r,171.1,7.2925,fold_change,acute_0_2h
r-c02,r,C2,r,142.7,13.157118055555555,fold_change,acute_0_2h
r-c03,r,C3,r,117.3,8.189365671641792,fold_change,acute_0_2h
r-c04,r,C4,r,99.2,13.503663003663004,fold_change,acute_0_2h
s-a01,s,A1,s,122.6,2.39729020979021,fold_change,acute_0_2h
s-a02,s,A2,s,156.2,2.163230240549828,fold_change,acute_0_2h
s-a03,s,A3,s,139.9,2.416528239202658,fold_change,acute_0_2h
s-a04,s,A4,s,161.7,5.724264705882353,fold_change,acute_0_2h
s-b01,s,B1,s,103.1,2.3859489051094895,fold_change,acute_0_2h
s-b02,s,B2,s,96,4.746052631578948,fold_change,acute_0_2h
s-b03,s,B3,s,64.4,1.9621062992125986,fold_change,acute_0_2h
s-b04,s,B4,s,114.2,7.19674295774648,fold_change,acute_0_2h
s-c01,s,C1,s,117.5,2.769736842105263,fold_change,acute_0_2h
s-c02,s,C2,s,126.5,7.158088235294118,fold_change,acute_0_2h
s-c03,s,C3,s,133.9,4.132724719101123,fold_change,acute_0_2h
s-c04,s,C4,s,213.5,2.6610243055555554,fold_change,acute_0_2h
t-a01,t,A1,t,66.7,1.861734693877551,fold_change,acute_0_2h
t-a02,t,A2,t,159.7,1.9313186813186816,fold_change,acute_0_2h
t-a03,t,A3,t,165.2,1.9807692307692308,fold_change,acute_0_2h
t-a04,t,A4,t,135.1,4.957538167938932,fold_change,acute_0_2h
t-b01,t,B1,t,97.6,1.901394422310757,fold_change,acute_0_2h
t-b02,t,B2,t,134.1,1.979965156794425,fold_change,acute_0_2h
t-b03,t,B3,t,100.3,1.9755859375,fold_change,acute_0_2h
t-b04,t,B4,t,104.5,5.019345238095238,fold_change,acute_0_2h
t-c01,t,C1,t,128.2,1.861003861003861,fold_change,acute_0_2h
t-c02,t,C2,t,168,1.9421992481203008,fold_change,acute_0_2h
t-c03,t,C3,t,181.4,3.474358974358974,fold_change,acute_0_2h
t-c04,t,C4,t,73.2,6.470346715328468,fold_change,acute_0_2h
u-a01,u,A1,u,77.3,3.9414682539682535,fold_change,acute_0_2h
u-a02,u,A2,u,176.4,4.676754385964912,fold_change,acute_0_2h
u-a03,u,A3,u,132.6,1.9853515625,fold_change,acute_0_2h
u-a04,u,A4,u,215.9,2.4622881355932202,fold_change,acute_0_2h
u-b01,u,B1,u,125.6,5.224914965986395,fold_change,acute_0_2h
u-b02,u,B2,u,169.8,3.3508064516129035,fold_change,acute_0_2h
u-b03,u,B3,u,114.4,2.2910583941605838,fold_change,acute_0_2h
u-b04,u,B4,u,85.4,1.9477186311787071,fold_change,acute_0_2h
u-c01,u,C1,u,150.7,8.07090909090909,fold_change,acute_0_2h
u-c02,u,C2,u,156.6,2.6428571428571423,fold_change,acute_0_2h
u-c03,u,C3,u,162.1,2.0240909090909094,fold_change,acute_0_2h
u-c04,u,C4,u,107.5,1.9338235294117647,fold_change,acute_0_2h
v-a01,v,A1,v,133.1,12.530677655677655,fold_change,acute_0_2h
v-a02,v,A2,v,82,4.418724279835391,fold_change,acute_0_2h
v-a03,v,A3,v,130.7,5.258049242424242,fold_change,acute_0_2h
v-a04,v,A4,v,103,4.492469879518072,fold_change,acute_0_2h
v-b01,v,B1,v,91.3,4.928779069767442,fold_change,acute_0_2h
v-b02,v,B2,v,177.4,4.642592592592592,fold_change,acute_0_2h
