exp_id,date,stressor,family,tau,n,deaths,surv_prop,rel_surv_time,pct_surv,pct_rst
20260427-33C,2026-04-27,33 C,1,99.5,20,12,0.4,0.7816582914572865,16.666666666666668,27.77777777777778
20260427-33C,2026-04-27,33 C,10,99.5,9,5,0.4444444444444444,0.9854829704075936,38.888888888888886,94.44444444444444
20260427-33C,2026-04-27,33 C,2,99.5,8,3,0.625,0.9327889447236181,83.33333333333333,72.22222222222223
20260427-33C,2026-04-27,33 C,3,99.5,20,8,0.6,0.9027638190954774,66.66666666666667,50
20260427-33C,2026-04-27,33 C,5,99.5,20,8,0.6,0.9160804020100503,66.66666666666667,61.111111111111114
20260427-33C,2026-04-27,33 C,6,99.5,9,4,0.5555555555555556,0.76214405360134,50,16.666666666666668
20260427-33C,2026-04-27,33 C,7,99.5,17,10,0.4117647058823529,0.8480638486550398,27.77777777777778,38.888888888888886
20260427-33C,2026-04-27,33 C,8,99.5,10,8,0.2,0.7396984924623115,5.555555555555555,5.555555555555555
20260427-33C,2026-04-27,33 C,9,99.5,15,5,0.6666666666666666,0.9500837520938024,94.44444444444444,83.33333333333333
20260511-33C,2026-05-11,33 C,1,67,12,12,0,0.5945273631840796,42.857142857142854,78.57142857142857
20260511-33C,2026-05-11,33 C,10,67,12,12,0,0.40110696517412936,42.857142857142854,7.142857142857143
20260511-33C,2026-05-11,33 C,3,67,12,12,0,0.5592786069651741,42.857142857142854,64.28571428571429
20260511-33C,2026-05-11,33 C,5,67,12,12,0,0.7162064676616915,42.857142857142854,92.85714285714286
20260511-33C,2026-05-11,33 C,6,67,12,12,0,0.45501243781094525,42.857142857142854,50
20260511-33C,2026-05-11,33 C,7,67,12,12,0,0.4261940298507463,42.857142857142854,21.428571428571427
20260511-33C,2026-05-11,33 C,8,67,12,11,0.08333333333333333,0.43220149253731344,92.85714285714286,35.714285714285715
20260604-36C,2026-06-04,36 C,1,42,5,5,0,0.4523809523809524,37.5,6.25
20260604-36C,2026-06-04,36 C,10,42,5,5,0,0.5047619047619047,37.5,31.25
20260604-36C,2026-06-04,36 C,2,42,5,5,0,0.4714285714285714,37.5,18.75
20260604-36C,2026-06-04,36 C,3,42,3,3,0,0.5158730158730159,37.5,43.75
20260604-36C,2026-06-04,36 C,5,42,6,5,0.16666666666666666,0.7857142857142857,81.25,81.25
20260604-36C,2026-06-04,36 C,6,42,5,5,0,0.5571428571428572,37.5,56.25
20260604-36C,2026-06-04,36 C,8,42,5,5,0,0.6047619047619047,37.5,68.75
